"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"2496","University of Arkansas Community College Rich Mountain","Arkansas","AR","Public","2 Year",NA,3600,3600,4920,4920
"2497","University of Arkansas for Medical Sciences","Arkansas","AR","Public","4 Year",NA,8197,8197,15973,15973
"2498","University of Arkansas Pulaski-Technical College","Arkansas","AR","Public","2 Year",NA,5362,5362,6557,6557
"2499","University of Arkansas: Community College at Batesville","Arkansas","AR","Public","2 Year",NA,3150,3150,4140,4140
"2500","University of Arkansas: Community College at Hope","Arkansas","AR","Public","2 Year",NA,2830,2830,4090,4090
"2501","University of Arkansas: Community College at Morrilton","Arkansas","AR","Public","2 Year",NA,3920,3920,5090,5090
"2502","University of Baltimore","Maryland","MD","Public","4 Year",NA,8958,8958,21076,21076
"2503","University of Bridgeport","Connecticut","CT","Private","4 Year",13860,32850,46710,32850,46710
"2504","University of California: Berkeley","California","CA","Public","4 Year",16160,14184,30344,43176,59336
"2505","University of California: Davis","California","CA","Public","4 Year",16211,14463,30674,43458,59669
"2506","University of California: Irvine","California","CA","Public","4 Year",15263,15614,30877,44606,59869
"2507","University of California: Los Angeles","California","CA","Public","4 Year",15816,13774,29590,42766,58582
"2508","University of California: Merced","California","CA","Public","4 Year",16454,13627,30081,41641,58095
"2509","University of California: Riverside","California","CA","Public","4 Year",17475,15633,33108,44625,62100
"2510","University of California: San Diego","California","CA","Public","4 Year",12362,14199,26561,43191,55553
"2511","University of California: Santa Barbara","California","CA","Public","4 Year",15273,14424,29697,43416,58689
"2512","University of California: Santa Cruz","California","CA","Public","4 Year",16407,14009,30416,42023,58430
"2513","University of Central Arkansas","Arkansas","AR","Public","4 Year",6854,8751,15605,15274,22128
"2514","University of Central Florida","Florida","FL","Public","4 Year",9617,6368,15985,22467,32084
"2515","University of Central Missouri","Missouri","MO","Public","4 Year",8766,7673,16439,14442,23208
"2516","University of Central Oklahoma","Oklahoma","OK","Public","4 Year",7970,7488,15458,18376,26346
"2517","University of Charleston","West Virginia","WV","Private","4 Year",9180,30900,40080,30900,40080
"2518","University of Chicago","Illinois","IL","Private","4 Year",16350,58230,74580,58230,74580
"2519","University of Cincinnati","Ohio","OH","Public","4 Year",11118,11000,22118,26334,37452
"2520","University of Cincinnati: Blue Ash College","Ohio","OH","Public","2 Year",NA,6360,6360,15158,15158
"2521","University of Cincinnati: Clermont College","Ohio","OH","Public","2 Year",NA,5316,5316,12548,12548
"2522","University of Colorado Boulder","Colorado","CO","Public","4 Year",14418,12532,26950,37286,51704
"2523","University of Colorado Colorado Springs","Colorado","CO","Public","4 Year",10500,10463,20963,24893,35393
"2524","University of Colorado Denver","Colorado","CO","Public","4 Year",NA,11394,11394,32004,32004
"2525","University of Connecticut","Connecticut","CT","Public","4 Year",12874,15730,28604,38098,50972
"2526","University of Dallas","Texas","TX","Private","4 Year",12400,40652,53052,40652,53052
"2527","University of Dayton","Ohio","OH","Private","4 Year",13580,42900,56480,42900,56480
"2528","University of Delaware","Delaware","DE","Public","4 Year",12862,13680,26542,34310,47172
"2529","University of Denver","Colorado","CO","Private","4 Year",13005,50556,63561,50556,63561
"2530","University of Detroit Mercy","Michigan","MI","Private","4 Year",9496,28000,37496,28000,37496
"2531","University of Dubuque","Iowa","IA","Private","4 Year",9930,34110,44040,34110,44040
"2532","University of Evansville","Indiana","IN","Private","4 Year",12460,36416,48876,36416,48876
"2533","University of Findlay","Ohio","OH","Private","4 Year",10000,34360,44360,34360,44360
"2534","University of Florida","Florida","FL","Public","4 Year",10120,6381,16501,28658,38778
"2535","University of Georgia","Georgia","GA","Public","4 Year",10038,11830,21868,30404,40442
"2536","University of Great Falls","Montana","MT","Private","4 Year",9200,25318,34518,25318,34518
"2537","University of Hartford","Connecticut","CT","Private","4 Year",12476,40694,53170,40694,53170
"2538","University of Hawaii at Hilo","Hawaii","HI","Public","4 Year",11406,7720,19126,20680,32086
"2539","University of Hawaii at Manoa","Hawaii","HI","Public","4 Year",13689,11970,25659,34002,47691
"2540","University of Hawaii: Hawaii Community College","Hawaii","HI","Public","2 Year",10418,3915,14333,10515,20933
"2541","University of Hawaii: Honolulu Community College","Hawaii","HI","Public","2 Year",NA,3885,3885,10305,10305
"2542","University of Hawaii: Kapiolani Community College","Hawaii","HI","Public","2 Year",NA,3915,3915,10335,10335
"2543","University of Hawaii: Kauai Community College","Hawaii","HI","Public","2 Year",NA,3963,3963,10383,10383
"2544","University of Hawaii: Leeward Community College","Hawaii","HI","Public","2 Year",NA,3915,3915,10335,10335
"2545","University of Hawaii: Maui College","Hawaii","HI","Public","2 Year",NA,3989,3989,10409,10409
"2546","University of Hawaii: West Oahu","Hawaii","HI","Public","4 Year",NA,7512,7512,20472,20472
"2547","University of Hawaii: Windward Community College","Hawaii","HI","Public","2 Year",NA,3895,3895,10315,10315
"2548","University of Holy Cross","Louisiana","LA","Private","4 Year",NA,17300,17300,17300,17300
"2549","University of Houston","Texas","TX","Public","4 Year",10270,12506,22776,27956,38226
"2550","University of Houston-Clear Lake","Texas","TX","Public","4 Year",NA,8500,8500,24731,24731
"2551","University of Houston-Downtown","Texas","TX","Public","4 Year",NA,7832,7832,20282,20282
"2552","University of Houston-Victoria","Texas","TX","Public","4 Year",8045,7970,16015,20420,28465
"2553","University of Idaho","Idaho","ID","Public","4 Year",8880,7864,16744,25500,34380
"2554","University of Illinois at Chicago","Illinois","IL","Public","4 Year",12074,13764,25838,26980,39054
"2555","University of Illinois at Urbana-Champaign","Illinois","IL","Public","4 Year",11308,15094,26402,31664,42972
"2556","University of Illinois: Springfield","Illinois","IL","Public","4 Year",11660,11813,23473,21338,32998
"2557","University of Indianapolis","Indiana","IN","Private","4 Year",10288,29688,39976,29688,39976
"2558","University of Iowa","Iowa","IA","Public","4 Year",11172,9267,20439,31233,42405
"2559","University of Jamestown","North Dakota","ND","Private","4 Year",7570,21976,29546,21976,29546
"2560","University of Kansas","Kansas","KS","Public","4 Year",10350,11148,21498,27358,37708
"2561","University of Kansas Medical Center","Kansas","KS","Public","4 Year",NA,11108,11108,27578,27578
"2562","University of Kentucky","Kentucky","KY","Public","4 Year",12982,12245,25227,29099,42081
"2563","University of La Verne","California","CA","Private","4 Year",12850,43050,55900,43050,55900
"2564","University of Louisiana at Lafayette","Louisiana","LA","Public","4 Year",8516,10616,19132,24344,32860
"2565","University of Louisiana at Monroe","Louisiana","LA","Public","4 Year",7850,8734,16584,20834,28684
"2566","University of Louisville","Kentucky","KY","Public","4 Year",9226,11656,20882,27278,36504
"2567","University of Lynchburg","Virginia","VA","Private","4 Year",10800,39530,50330,39530,50330
"2568","University of Maine","Maine","ME","Public","4 Year",10418,11170,21588,30970,41388
"2569","University of Maine at Augusta","Maine","ME","Public","4 Year",NA,7988,7988,17918,17918
"2570","University of Maine at Farmington","Maine","ME","Public","4 Year",9726,9666,19392,19778,29504
"2571","University of Maine at Fort Kent","Maine","ME","Public","4 Year",8220,8115,16335,12315,20535
"2572","University of Maine at Machias","Maine","ME","Public","4 Year",8486,7840,16326,15100,23586
"2573","University of Maine at Presque Isle","Maine","ME","Public","4 Year",8406,8035,16441,12235,20641
"2574","University of Management and Technology","Virginia","VA","For Profit","4 Year",NA,9450,9450,9450,9450
"2575","University of Mary","North Dakota","ND","Private","4 Year",6890,18720,25610,18720,25610
"2576","University of Mary Hardin-Baylor","Texas","TX","Private","4 Year",8446,28750,37196,28750,37196
"2577","University of Mary Washington","Virginia","VA","Public","4 Year",11118,12188,23306,27434,38552
"2578","University of Maryland: Baltimore","Maryland","MD","Public","4 Year",NA,11033,11033,39267,39267
"2579","University of Maryland: Baltimore County","Maryland","MD","Public","4 Year",11696,11778,23474,26872,38568
"2580","University of Maryland: College Park","Maryland","MD","Public","4 Year",12429,10595,23024,35216,47645
"2581","University of Maryland: Eastern Shore","Maryland","MD","Public","4 Year",9864,8302,18166,18508,28372
"2582","University of Maryland: University College","Maryland","MD","Public","4 Year",NA,7416,7416,12336,12336
"2583","University of Massachusetts Amherst","Massachusetts","MA","Public","4 Year",13202,16072,29274,34755,47957
"2584","University of Massachusetts Boston","Massachusetts","MA","Public","4 Year",16290,14167,30457,33966,50256
"2585","University of Massachusetts Dartmouth","Massachusetts","MA","Public","4 Year",13582,13921,27503,29141,42723
"2586","University of Massachusetts Lowell","Massachusetts","MA","Public","4 Year",12748,15180,27928,32827,45575
"2587","University of Memphis","Tennessee","TN","Public","4 Year",9975,9701,19676,21413,31388
"2588","University of Miami","Florida","FL","Private","4 Year",14108,50226,64334,50226,64334
"2589","University of Michigan","Michigan","MI","Public","4 Year",11534,15262,26796,49350,60884
"2590","University of Michigan: Dearborn","Michigan","MI","Public","4 Year",NA,12930,12930,25158,25158
"2591","University of Michigan: Flint","Michigan","MI","Public","4 Year",8769,11820,20589,22578,31347
"2592","University of Minnesota: Crookston","Minnesota","MN","Public","4 Year",7658,11921,19579,11921,19579
"2593","University of Minnesota: Duluth","Minnesota","MN","Public","4 Year",7760,13367,21127,18485,26245
"2594","University of Minnesota: Morris","Minnesota","MN","Public","4 Year",8342,13314,21656,15342,23684
"2595","University of Minnesota: Rochester","Minnesota","MN","Public","4 Year",9710,13352,23062,13352,23062
"2596","University of Minnesota: Twin Cities","Minnesota","MN","Public","4 Year",10312,14693,25005,30371,40683
"2597","University of Mississippi","Mississippi","MS","Public","4 Year",10696,8660,19356,24614,35310
"2598","University of Mississippi Medical Center","Mississippi","MS","Public","4 Year",NA,8433,8433,24731,24731
"2599","University of Missouri: Columbia","Missouri","MO","Public","4 Year",10786,12055,22841,29025,39811
"2600","University of Missouri: Kansas City","Missouri","MO","Public","4 Year",10334,9884,20218,25010,35344
"2601","University of Missouri: St. Louis","Missouri","MO","Public","4 Year",9450,10491,19941,27900,37350
"2602","University of Mobile","Alabama","AL","Private","4 Year",9600,22820,32420,22820,32420
"2603","University of Montana","Montana","MT","Public","4 Year",9544,7244,16788,24959,34503
"2604","University of Montana: Western","Montana","MT","Public","4 Year",7950,5717,13667,17179,25129
"2605","University of Montevallo","Alabama","AL","Public","4 Year",9330,12760,22090,25780,35110
"2606","University of Mount Olive","North Carolina","NC","Private","4 Year",8550,20600,29150,20600,29150
"2607","University of Mount Union","Ohio","OH","Private","4 Year",10200,31260,41460,31260,41460
"2608","University of Nebraska - Kearney","Nebraska","NE","Public","4 Year",9878,7513,17391,14503,24381
"2609","University of Nebraska - Lincoln","Nebraska","NE","Public","4 Year",11430,9154,20584,24949,36379
"2610","University of Nebraska - Omaha","Nebraska","NE","Public","4 Year",9950,8417,18367,22689,32639
"2611","University of Nebraska Medical Center","Nebraska","NE","Public","4 Year",NA,11558,11558,28898,28898
"2612","University of Nevada: Las Vegas","Nevada","NV","Public","4 Year",10504,7985,18489,22457,32961
"2613","University of Nevada: Reno","Nevada","NV","Public","4 Year",10868,7925,18793,22397,33265
"2614","University of New England","Maine","ME","Private","4 Year",13990,37620,51610,37620,51610
"2615","University of New Hampshire","New Hampshire","NH","Public","4 Year",11580,18499,30079,33879,45459
"2616","University of New Hampshire at Manchester","New Hampshire","NH","Public","4 Year",NA,15265,15265,30635,30635
"2617","University of New Haven","Connecticut","CT","Private","4 Year",15900,39270,55170,39270,55170
"2618","University of New Mexico","New Mexico","NM","Public","4 Year",9864,5445,15309,26845,36709
"2619","University of New Orleans","Louisiana","LA","Public","4 Year",10575,9054,19629,13890,24465
"2620","University of North Alabama","Alabama","AL","Public","4 Year",9200,10370,19570,18680,27880
"2621","University of North Carolina at Asheville","North Carolina","NC","Public","4 Year",9106,7145,16251,23868,32974
"2622","University of North Carolina at Chapel Hill","North Carolina","NC","Public","4 Year",11190,8987,20177,35170,46360
"2623","University of North Carolina at Charlotte","North Carolina","NC","Public","4 Year",11100,7044,18144,20478,31578
"2624","University of North Carolina at Greensboro","North Carolina","NC","Public","4 Year",9038,7319,16357,22478,31516
"2625","University of North Carolina at Pembroke","North Carolina","NC","Public","4 Year",8924,3418,12342,7418,16342
"2626","University of North Carolina at Wilmington","North Carolina","NC","Public","4 Year",10686,7000,17686,21065,31751
"2627","University of North Carolina School of the Arts","North Carolina","NC","Public","4 Year",9021,9358,18379,25501,34522
"2628","University of North Dakota","North Dakota","ND","Public","4 Year",8974,8695,17669,20759,29733
"2629","University of North Florida","Florida","FL","Public","4 Year",9976,6394,16370,20112,30088
"2630","University of North Georgia","Georgia","GA","Public","4 Year",7876,7336,15212,21148,29024
"2631","University of North Texas","Texas","TX","Public","4 Year",9727,11250,20977,23700,33427
"2632","University of North Texas at DallasSystem","Texas","TX","Other","Other",NA,8448,8448,14640,14640
"2633","University of Northern Colorado","Colorado","CO","Public","4 Year",11204,9786,20990,21474,32678
"2634","University of Northern Iowa","Iowa","IA","Public","4 Year",8948,8938,17886,19480,28428
"2635","University of Northwestern - St. Paul","Minnesota","MN","Private","4 Year",9460,31540,41000,31540,41000
"2636","University of Northwestern Ohio","Ohio","OH","Private","4 Year",2850,10650,13500,10650,13500
"2637","University of Notre Dame","Indiana","IN","Private","4 Year",15410,53391,68801,53391,68801
"2638","University of Oklahoma","Oklahoma","OK","Public","4 Year",10994,11763,22757,27144,38138
"2639","University of Oregon","Oregon","OR","Public","4 Year",12963,11898,24861,35478,48441
"2640","University of Pennsylvania","Pennsylvania","PA","Private","4 Year",15616,55584,71200,55584,71200
"2641","University of Pikeville","Kentucky","KY","Private","4 Year",7800,20950,28750,20950,28750
"2642","University of Pittsburgh","Pennsylvania","PA","Public","4 Year",11050,19080,30130,32052,43102
"2643","University of Pittsburgh at Bradford","Pennsylvania","PA","Public","4 Year",9332,13900,23232,25144,34476
"2644","University of Pittsburgh at Greensburg","Pennsylvania","PA","Public","4 Year",NA,13890,13890,25134,25134
"2645","University of Pittsburgh at Johnstown","Pennsylvania","PA","Public","4 Year",9980,13878,23858,25122,35102
"2646","University of Pittsburgh at Titusville","Pennsylvania","PA","Public","2 Year",10996,11788,22784,21532,32528
"2647","University of Portland","Oregon","OR","Private","4 Year",13450,45904,59354,45904,59354
"2648","University of Puerto Rico: Aguadilla",NA,"PR","Public","4 Year",NA,3594,3594,3594,3594
"2649","University of Puerto Rico: Arecibo",NA,"PR","Public","4 Year",NA,1769,1769,1987,1987
"2650","University of Puerto Rico: Bayamon University College",NA,"PR","Public","4 Year",NA,2022,2022,2022,2022
"2651","University of Puerto Rico: Carolina Regional College",NA,"PR","Public","4 Year",NA,6116,6116,6116,6116
"2652","University of Puerto Rico: Humacao",NA,"PR","Public","4 Year",NA,1794,1794,1794,1794
"2653","University of Puerto Rico: Mayaguez",NA,"PR","Public","4 Year",NA,2083,2083,4105,4105
"2654","University of Puerto Rico: Medical Sciences",NA,"PR","Public","4 Year",NA,2196,2196,2196,2196
"2655","University of Puerto Rico: Ponce",NA,"PR","Public","4 Year",NA,2261,2261,2261,2261
"2656","University of Puerto Rico: Rio Piedras",NA,"PR","Public","4 Year",8751,3624,12375,5349,14100
"2657","University of Puerto Rico: Utuado",NA,"PR","Public","4 Year",NA,2266,2266,4287,4287
"2658","University of Puget Sound","Washington","WA","Private","4 Year",12540,49776,62316,49776,62316
"2659","University of Redlands","California","CA","Private","4 Year",14278,49504,63782,49504,63782
"2660","University of Rhode Island","Rhode Island","RI","Public","4 Year",12950,14138,27088,30862,43812
"2661","University of Richmond","Virginia","VA","Private","4 Year",12250,52610,64860,52610,64860
"2662","University of Rio Grande","Ohio","OH","Private","4 Year",11166,27470,38636,27470,38636
"2663","University of Rochester","New York","NY","Private","4 Year",15938,53926,69864,53926,69864
"2664","University of Saint Francis","Indiana","IN","Private","4 Year",9840,30615,40455,30615,40455
"2665","University of Saint Joseph","Connecticut","CT","Private","4 Year",11428,39173,50601,39173,50601
"2666","University of San Diego","California","CA","Private","4 Year",12980,49358,62338,49358,62338
"2667","University of San Francisco","California","CA","Private","4 Year",14830,48066,62896,48066,62896
"2668","University of Science and Arts of Oklahoma","Oklahoma","OK","Public","4 Year",6350,7215,13565,17565,23915
"2669","University of Scranton","Pennsylvania","PA","Private","4 Year",15182,44532,59714,44532,59714
"2670","University of Sioux Falls","South Dakota","SD","Private","4 Year",7350,18280,25630,18280,25630
"2671","University of South Alabama","Alabama","AL","Public","4 Year",7620,9870,17490,19740,27360
"2672","University of South Carolina: Aiken","South Carolina","SC","Public","4 Year",7766,10760,18526,21218,28984
"2673","University of South Carolina: Beaufort","South Carolina","SC","Public","4 Year",NA,10680,10680,21726,21726
"2674","University of South Carolina: Columbia","South Carolina","SC","Public","4 Year",NA,12616,12616,33298,33298
"2675","University of South Carolina: Lancaster","South Carolina","SC","Public","2 Year",NA,7558,7558,18238,18238
"2676","University of South Carolina: Salkehatchie","South Carolina","SC","Public","2 Year",NA,7558,7558,18238,18238
"2677","University of South Carolina: Sumter","South Carolina","SC","Public","2 Year",NA,7558,7558,18238,18238
"2678","University of South Carolina: Union","South Carolina","SC","Public","2 Year",NA,7558,7558,18238,18238
"2679","University of South Carolina: Upstate","South Carolina","SC","Public","4 Year",9480,11763,21243,23265,32745
"2680","University of South Dakota","South Dakota","SD","Public","4 Year",8216,9061,17277,12425,20641
"2681","University of South Florida","Florida","FL","Public","4 Year",11610,6410,18020,17324,28934
"2682","University of South Florida: Saint Petersburg","Florida","FL","Public","4 Year",11610,5821,17431,16735,28345
"2683","University of South Florida: Sarasota-Manatee","Florida","FL","Public","4 Year",NA,5587,5587,16502,16502
"2684","University of Southern California","California","CA","Private","4 Year",15395,56225,71620,56225,71620
"2685","University of Southern Indiana","Indiana","IN","Public","4 Year",8838,7970,16808,18626,27464
"2686","University of Southern Maine","Maine","ME","Public","4 Year",9450,9520,18970,22780,32230
"2687","University of Southern Mississippi","Mississippi","MS","Public","4 Year",9857,8734,18591,10734,20591
"2688","University of St. Francis","Illinois","IL","Private","4 Year",9544,32320,41864,32320,41864
"2689","University of St. Mary","Kansas","KS","Private","4 Year",8140,28810,36950,28810,36950
"2690","University of St. Thomas","Texas","TX","Private","4 Year",9070,33580,42650,33580,42650
"2691","University of St. Thomas","Minnesota","MN","Private","4 Year",10412,42736,53148,42736,53148
"2692","University of Tampa","Florida","FL","Private","4 Year",10810,29208,40018,29208,40018
"2693","University of Tennessee: Chattanooga","Tennessee","TN","Public","4 Year",9050,8664,17714,24782,33832
"2694","University of Tennessee: Knoxville","Tennessee","TN","Public","4 Year",11240,13006,24246,31196,42436
"2695","University of Tennessee: Martin","Tennessee","TN","Public","4 Year",6164,9512,15676,15552,21716
"2696","University of Texas at Arlington","Texas","TX","Public","4 Year",10302,10250,20552,25134,35436
"2697","University of Texas at Austin","Texas","TX","Public","4 Year",10804,10606,21410,37480,48284
"2698","University of Texas at Dallas","Texas","TX","Public","4 Year",11532,13034,24566,36876,48408
"2699","University of Texas at El Paso","Texas","TX","Public","4 Year",5040,7998,13038,22529,27569
"2700","University of Texas at San Antonio","Texas","TX","Public","4 Year",11578,9900,21478,24262,35840
"2701","University of Texas at Tyler","Texas","TX","Public","4 Year",9502,8292,17794,21522,31024
"2702","University of Texas Health Science Center at Houston","Texas","TX","Public","4 Year",NA,6380,6380,27710,27710
"2703","University of Texas Medical Branch at Galveston","Texas","TX","Public","4 Year",NA,7721,7721,20258,20258
"2704","University of Texas of the Permian Basin","Texas","TX","Public","4 Year",9846,7124,16970,19574,29420
"2705","University Of Texas Rio Grande Valley","Texas","TX","Public","4 Year",8124,7813,15937,20263,28387
"2706","University of the Arts","Pennsylvania","PA","Private","4 Year",16322,44780,61102,44780,61102
"2707","University of the Cumberlands","Kentucky","KY","Private","4 Year",9000,23000,32000,23000,32000
"2708","University of the District of Columbia",NA,"DC","Public","4 Year",16425,8252,24677,16388,32813
"2709","University of the Incarnate Word","Texas","TX","Private","4 Year",12716,31484,44200,31484,44200
"2710","University of the Ozarks","Arkansas","AR","Private","4 Year",7400,24230,31630,24230,31630
"2711","University of the Pacific","California","CA","Private","4 Year",13650,48040,61690,48040,61690
"2712","University of the Sciences","Pennsylvania","PA","Private","4 Year",15938,25000,40938,25000,40938
"2713","University of the Southwest","New Mexico","NM","Private","4 Year",8220,16000,24220,16000,24220
"2714","University of the Virgin Islands",NA,"VI","Public","4 Year",9900,5235,15135,14496,24396
"2715","University of the West","California","CA","Private","4 Year",7764,15440,23204,15440,23204
"2716","University of Toledo","Ohio","OH","Public","4 Year",11434,9795,21229,19133,30567
"2717","University of Tulsa","Oklahoma","OK","Private","4 Year",11116,41509,52625,41509,52625
"2718","University of Utah","Utah","UT","Public","4 Year",10262,9222,19484,29215,39477
"2719","University of Valley Forge","Pennsylvania","PA","Private","4 Year",9886,21238,31124,21238,31124
"2720","University of Vermont","Vermont","VT","Public","4 Year",12462,18276,30738,42516,54978
"2721","University of Virginia","Virginia","VA","Public","4 Year",11590,17564,29154,48465,60055
"2722","University of Virginia's College at Wise","Virginia","VA","Public","4 Year",10438,10119,20557,27176,37614
"2723","University of Washington","Washington","WA","Public","4 Year",12798,11517,24315,36898,49696
"2724","University of Washington Bothell","Washington","WA","Public","4 Year",11877,11138,23015,36519,48396
"2725","University of Washington Tacoma","Washington","WA","Public","4 Year",11028,11361,22389,36742,47770
"2726","University of West Alabama","Alabama","AL","Public","4 Year",8116,10040,18156,18490,26606
"2727","University of West Florida","Florida","FL","Public","4 Year",9942,6360,16302,18628,28570
"2728","University of West Georgia","Georgia","GA","Public","4 Year",10918,7292,18210,20774,31692
"2729","University of Wisconsin-Baraboo/Sauk County","Wisconsin","WI","Public","2 Year",NA,5237,5237,12808,12808
"2730","University of Wisconsin-Barron County","Wisconsin","WI","Public","2 Year",NA,5222,5222,12793,12793
"2731","University of Wisconsin-Eau Claire","Wisconsin","WI","Public","4 Year",7813,8820,16633,17096,24909
"2732","University of Wisconsin-Fond du Lac","Wisconsin","WI","Public","2 Year",NA,5234,5234,12805,12805
"2733","University of Wisconsin-Green Bay","Wisconsin","WI","Public","4 Year",6609,7878,14487,15728,22337
"2734","University of Wisconsin-La Crosse","Wisconsin","WI","Public","4 Year",6331,9106,15437,17924,24255
"2735","University of Wisconsin-Madison","Wisconsin","WI","Public","4 Year",11114,10555,21669,36805,47919
"2736","University of Wisconsin-Marathon County","Wisconsin","WI","Public","2 Year",5236,5174,10410,12746,17982
"2737","University of Wisconsin-Marinette","Wisconsin","WI","Public","2 Year",4743,5145,9888,12717,17460
"2738","University of Wisconsin-Marshfield/Wood County","Wisconsin","WI","Public","2 Year",NA,5136,5136,12708,12708
"2739","University of Wisconsin-Milwaukee","Wisconsin","WI","Public","4 Year",10728,11084,21812,22364,33092
"2740","University of Wisconsin-Oshkosh","Wisconsin","WI","Public","4 Year",7448,8820,16268,16393,23841
"2741","University of Wisconsin-Parkside","Wisconsin","WI","Public","4 Year",8026,7529,15555,15518,23544
"2742","University of Wisconsin-Platteville","Wisconsin","WI","Public","4 Year",7580,7571,15151,15421,23001
"2743","University of Wisconsin-River Falls","Wisconsin","WI","Public","4 Year",6513,7862,14375,15435,21948
"2744","University of Wisconsin-Stevens Point","Wisconsin","WI","Public","4 Year",7522,8088,15610,16355,23877
"2745","University of Wisconsin-Stout","Wisconsin","WI","Public","4 Year",6924,9457,16381,17423,24347
"2746","University of Wisconsin-Superior","Wisconsin","WI","Public","4 Year",6792,8126,14918,15699,22491
"2747","University of Wisconsin-Washington County","Wisconsin","WI","Public","2 Year",NA,5118,5118,12690,12690
"2748","University of Wisconsin-Waukesha","Wisconsin","WI","Public","2 Year",NA,5148,5148,12719,12719
"2749","University of Wisconsin-Whitewater","Wisconsin","WI","Public","4 Year",6786,7692,14478,16265,23051
"2750","University of Wyoming","Wyoming","WY","Public","4 Year",10320,5400,15720,17490,27810
"2751","Upper Iowa University","Iowa","IA","Private","4 Year",8454,30450,38904,30450,38904
"2752","Urban College of Boston","Massachusetts","MA","Private","2 Year",NA,11150,11150,11150,11150
"2753","Urbana University","Ohio","OH","Private","4 Year",9998,23700,33698,23700,33698
"2754","Ursinus College","Pennsylvania","PA","Private","4 Year",12750,52050,64800,52050,64800
"2755","Ursuline College","Ohio","OH","Private","4 Year",10776,32390,43166,32390,43166
"2756","Utah State University","Utah","UT","Public","4 Year",6400,7424,13824,21505,27905
"2757","Utah Valley University","Utah","UT","Public","4 Year",NA,5726,5726,16296,16296
"2758","Utica College","New York","NY","Private","4 Year",11248,21382,32630,21382,32630
"2759","UW Colleges Fox Valley","Wisconsin","WI","Public","2 Year",NA,5060,5060,12632,12632
"2760","UW Colleges Manitowoc","Wisconsin","WI","Public","2 Year",NA,5156,5156,12728,12728
"2761","UW Colleges Richland","Wisconsin","WI","Public","2 Year",NA,5347,5347,12918,12918
"2762","UW Colleges Rock County","Wisconsin","WI","Public","2 Year",NA,5132,5132,12703,12703
"2763","UW Colleges Sheboygan","Wisconsin","WI","Public","2 Year",NA,5132,5132,12703,12703
"2764","Valdosta State University","Georgia","GA","Public","4 Year",8110,7476,15586,20958,29068
"2765","Valencia College","Florida","FL","Public","2 Year",NA,3366,3366,12828,12828
"2766","Valley City State University","North Dakota","ND","Public","4 Year",6446,7626,14072,17166,23612
"2767","Valley Forge Military College","Pennsylvania","PA","Private","2 Year",16600,29975,46575,29975,46575
"2768","Valparaiso University","Indiana","IN","Private","4 Year",11860,40260,52120,40260,52120
"2769","Vance-Granville Community College","North Carolina","NC","Public","2 Year",NA,2409,2409,8169,8169
"2770","Vanderbilt University","Tennessee","TN","Private","4 Year",16234,49816,66050,49816,66050
"2771","VanderCook College of Music","Illinois","IL","Private","4 Year",13192,28434,41626,28434,41626
"2772","Vanguard University of Southern California","California","CA","Private","4 Year",10520,33700,44220,33700,44220
"2773","Vassar College","New York","NY","Private","4 Year",13550,56960,70510,56960,70510
"2774","Vaughn College of Aeronautics and Technology","New York","NY","Private","4 Year",14550,25710,40260,25710,40260
"2775","Ventura College","California","CA","Public","2 Year",NA,1418,1418,9218,9218
"2776","Vermilion Community College","Minnesota","MN","Public","2 Year",6290,5324,11614,6506,12796
"2777","Vermont Technical College","Vermont","VT","Public","4 Year",10598,15108,25706,27780,38378
"2778","Vernon College","Texas","TX","Public","2 Year",4096,3000,7096,6300,10396
"2779","Victor Valley College","California","CA","Public","2 Year",5418,1402,6820,9142,14560
"2780","Victoria College","Texas","TX","Public","2 Year",NA,2790,2790,5040,5040
"2781","Villa Maria College of Buffalo","New York","NY","Private","4 Year",NA,22600,22600,22600,22600
"2782","Villanova University","Pennsylvania","PA","Private","4 Year",14020,53308,67328,53308,67328
"2783","Vincennes University","Indiana","IN","Public","2 Year",9990,5902,15892,13959,23949
"2784","Virginia Baptist College","Virginia","VA","Private","4 Year",NA,5800,5800,5800,5800
"2785","Virginia Commonwealth University","Virginia","VA","Public","4 Year",10428,14490,24918,35138,45566
"2786","Virginia Highlands Community College","Virginia","VA","Public","2 Year",NA,4710,4710,10638,10638
"2787","Virginia Marti College of Art and Design","Ohio","OH","For Profit","2 Year",NA,20700,20700,20700,20700
"2788","Virginia Military Institute","Virginia","VA","Public","4 Year",9428,18862,28290,45706,55134
"2789","Virginia Polytechnic Institute and State University","Virginia","VA","Public","4 Year",8934,13620,22554,31304,40238
"2790","Virginia State University","Virginia","VA","Public","4 Year",11208,9056,20264,19576,30784
"2791","Virginia Union University","Virginia","VA","Private","4 Year",8598,17448,26046,17448,26046
"2792","Virginia University of Lynchburg","Virginia","VA","Private","4 Year",9400,9000,18400,9000,18400
"2793","Virginia Wesleyan University","Virginia","VA","Private","4 Year",9256,36660,45916,36660,45916
"2794","Virginia Western Community College","Virginia","VA","Public","2 Year",NA,5355,5355,11283,11283
"2795","Visible Music College","Tennessee","TN","Private","4 Year",6000,19500,25500,19500,25500
"2796","Viterbo University","Wisconsin","WI","Private","4 Year",9060,27970,37030,27970,37030
